Operation,Dimension,BlockSize,N_Threads,Time,L1_DCM,L2_DCM,Gflops
1,600,0,1.0,0.18377,244779770,38682131,2.351
1,1000,0,1.0,1.114836,1225949849,236773461,1.8088
1,1400,0,1.0,3.495259,3471191580,978095214,1.576
1,1800,0,1.0,18.071686,9090172841,5730662022,0.6459
1,2200,0,1.0,38.294471,17630657821,20302880969,0.5564
1,2600,0,1.0,69.0226,30895931144,50719685849,0.5095
1,3000,0,1.0,114.973857,50305095600,96485036230,0.4697
2,600,0,1.0,0.10373,27108266,57162689,4.1682
2,1000,0,1.0,0.48045,125673776,263534205,4.165
2,1400,0,1.0,1.570402,345982100,705462398,3.4976
2,1800,0,1.0,3.411581,745296306,1436094201,3.4198
2,2200,0,1.0,6.273155,2074023721,2557854864,3.3951
2,2600,0,1.0,10.413975,4412536352,4167976751,3.3756
2,3000,0,1.0,15.99335,6779756162,6367598825,3.3765
2,4096,0,1.0,41.170812,17536031042,16132329082,3.3387
2,6144,0,1.0,138.437,59145286722,54131404398,3.351
2,8192,0,1.0,328.7155,140028713686,127012178410,3.3453
2,10240,0,1.0,641.245,273424271178,252406172548,3.3491
3,4096,128,1.0,30.5378,9734440969,32527339167,4.5013
3,4096,256,1.0,27.8888,9084844789,23107431969,4.9324
3,4096,512,1.0,29.547512,8768531355,19414722950,4.7375
3,6144,128,1.0,103.516,32852944615,110219412463,4.4823
3,6144,256,1.0,90.645838,30656575490,77883059034,5.1184
3,6144,512,1.0,90.87755,29625108631,66844716855,5.1054
3,8192,128,1.0,252.54575,77901630670,261874087635,4.3608
3,8192,256,1.0,370.93625,73004202344,158631081608,3.039
3,8192,512,1.0,321.0735,70333783562,132600388060,3.4473
3,10240,128,1.0,478.028571,152056593801,515800766177,4.4928
3,10240,256,1.0,420.998714,141902119553,360751204334,5.1014
3,10240,512,1.0,419.594143,136986210591,307175086205,5.1194
4,600,0,4.0,0.02645,6779718,14403047,16.3352
4,600,0,6.0,0.018458,4524442,9526623,23.4196
4,600,0,8.0,0.021997,3393780,7197903,23.4582
4,1000,0,4.0,0.128116,31423972,66177815,15.613
4,1000,0,6.0,0.086494,20995684,43616957,23.1271
4,1000,0,8.0,0.071005,15719991,33117833,28.2674
4,1400,0,4.0,0.417143,86903423,173305182,13.1573
4,1400,0,6.0,0.291408,58103802,116813795,18.8343
4,1400,0,8.0,0.235723,43454783,87669831,23.3017
4,1800,0,4.0,0.939896,187096464,361862332,12.4102
4,1800,0,6.0,0.668671,124742139,245602371,17.4449
4,1800,0,8.0,0.546688,93572096,185822563,21.3587
4,2200,0,4.0,1.73378,517134796,660976733,12.2833
4,2200,0,6.0,1.237043,345162480,445868026,17.2159
4,2200,0,8.0,1.014351,258658369,336422860,21.015
4,2600,0,4.0,2.89012,1099294229,1094200761,12.1632
4,2600,0,6.0,2.060267,733999059,736189608,17.0622
4,2600,0,8.0,1.72895,549666787,552735069,20.4152
4,3000,0,4.0,4.489963,1690026894,1695973440,12.0338
4,3000,0,6.0,3.238757,1126724782,1133787880,16.6941
4,3000,0,8.0,2.918323,845064918,848477719,18.667
4,4096,0,4.0,11.895967,4408105354,4317692670,11.5565
4,4096,0,6.0,8.584923,2942253274,2915813504,16.0243
4,4096,0,8.0,7.607607,2204530257,2172582285,18.1216
4,6144,0,4.0,39.994533,14885926263,14714606034,11.6034
4,6144,0,6.0,29.319867,9930567309,9869071182,15.8288
4,6144,0,8.0,29.0402,7433413394,7180103888,16.0813
4,8192,0,4.0,95.0836,35271102834,34891254293,11.5705
4,8192,0,6.0,70.3096,23539249248,23396985519,15.6407
4,8192,0,8.0,76.8497,17600311402,16687201527,14.3075
4,10240,0,4.0,185.303,68877709393,68913669709,11.5953
4,10240,0,6.0,137.029667,45960206345,46123650034,15.679
4,10240,0,8.0,147.866333,34386338138,33094684876,14.5565
5,600,0,4.0,0.115629,10798016,37945954,3.7368
5,600,0,6.0,0.145797,9837202,37924818,2.9633
5,600,0,8.0,0.181897,9048999,36563335,2.3769
5,1000,0,4.0,0.379789,44767427,138410666,5.2705
5,1000,0,6.0,0.44145,34854937,124637873,4.5349
5,1000,0,8.0,0.566085,31005498,118545442,3.5344
5,1400,0,4.0,1.0527,106814723,283211719,5.2142
5,1400,0,6.0,1.144417,85645818,261131913,4.796
5,1400,0,8.0,1.47023,73064983,247283346,3.7336
5,1800,0,4.0,2.582767,223386652,538569231,4.5162
5,1800,0,6.0,2.868177,168802209,448474085,4.067
5,1800,0,8.0,3.16203,140447531,390469874,3.6891
5,2200,0,4.0,5.125093,378868378,818647886,4.1554
5,2200,0,6.0,5.393037,290791315,712359998,3.9491
5,2200,0,8.0,5.807863,240628067,614214478,3.6676
5,2600,0,4.0,8.57943,631479186,1325532797,4.0973
5,2600,0,6.0,8.89913,461266877,1065885032,3.9505
5,2600,0,8.0,9.32463,378120985,917866892,3.7701
5,3000,0,4.0,13.248133,931202168,1836449950,4.0762
5,3000,0,6.0,13.610233,685271952,1517891431,3.9679
5,3000,0,8.0,14.031133,559262822,1286691081,3.8489
5,4096,0,4.0,32.5839,2330286121,4399025466,4.2185
5,4096,0,6.0,32.835833,1677718676,3603805508,4.186
5,4096,0,8.0,34.303367,1278260319,2628641415,4.007
5,6144,0,4.0,106.938,7830956429,13925571297,4.3381
5,6144,0,6.0,105.868333,5292684929,9861689680,4.3815
5,6144,0,8.0,105.887333,4163426784,8232322054,4.3808
5,8192,0,4.0,251.168,20646549743,32521323975,4.3776
5,8192,0,6.0,249.572,12608043370,23126883012,4.4056
5,8192,0,8.0,250.658333,9485631335,16375709660,4.3866
5,10240,0,4.0,485.043,68783338064,60603151821,4.4274
5,10240,0,6.0,475.761333,25752251322,42736456215,4.5141
5,10240,0,8.0,477.021,18554146207,30659624810,4.502
